,City
0,bathsheba
1,hermanus
2,brae
3,new norfolk
4,olafsvik
5,bluff
6,east london
7,ponta do sol
8,adrar
9,mys shmidta
10,bredasdorp
11,yellowknife
12,punta arenas
13,pimentel
14,hithadhoo
15,marcona
16,port alfred
17,samusu
18,koungou
19,hobart
20,ushuaia
21,jamestown
22,ayan
23,sivas
24,lata
25,smithers
26,mahebourg
27,arraial do cabo
28,challans
29,rikitea
30,hilo
31,busselton
32,tasiilaq
33,yumen
34,ilulissat
35,saint-philippe
36,tuktoyaktuk
37,kaitangata
38,maceio
39,kapaa
40,meulaboh
41,biskupiec
42,saint-augustin
43,pevek
44,vaini
45,leningradskiy
46,hualmay
47,faanui
48,barentsburg
49,tumannyy
50,ferkessedougou
51,butaritari
52,cao bang
53,barrow
54,dunedin
55,beringovskiy
56,saskylakh
57,lofthus
58,ribeira grande
59,taltal
60,nikolskoye
61,puerto ayora
62,rocha
63,attawapiskat
64,clarence town
65,praya
66,methoni
67,ahipara
68,carauari
69,tvardica
70,kalmunai
71,lebu
72,nuevo progreso
73,filadelfia
74,belushya guba
75,katobu
76,tecoanapa
77,satitoa
78,wairoa
79,esperance
80,luderitz
81,vaitupu
82,ayia galini
83,qaanaaq
84,aykhal
85,pisco
86,chuy
87,susangerd
88,jalu
89,port elizabeth
90,nanortalik
91,hambantota
92,bambous virieux
93,amderma
94,antofagasta
95,baracoa
96,taolanaro
97,georgetown
98,shahpura
99,mataura
100,tsihombe
101,muros
102,krasnoarmeysk
103,albany
104,lagoa
105,shahabad
106,marystown
107,cabrero
108,vila franca do campo
109,abnub
110,touros
111,kosa
112,kodiak
113,marabba
114,young
115,hammerfest
116,fairbanks
117,mackay
118,aqtobe
119,acapulco
120,sistranda
121,vilyuysk
122,provideniya
123,mecca
124,ambodifototra
125,kennett
126,lompoc
127,gobabis
128,bilma
129,doctor pedro p. pena
130,severo-kurilsk
131,cherskiy
132,dikson
133,homer
134,namatanai
135,christchurch
136,kampot
137,hamilton
138,dzhusaly
139,tessalit
140,muriti
141,antanifotsy
142,klaksvik
143,victoria
144,at-bashi
145,havelock
146,ndjole
147,cukai
148,ijaki
149,gizo
150,rumoi
151,mareeba
152,fortuna
153,xichang
154,bengkulu
155,thompson
156,elizabeth city
157,castro
158,coquimbo
159,paamiut
160,merke
161,komsomolskiy
162,sungaipenuh
163,iquitos
164,atuona
165,kampong thum
166,dingle
167,saint george
168,xingtai
169,shubarkuduk
170,souillac
171,illoqqortoormiut
172,ancud
173,kudahuvadhoo
174,sakakah
175,upernavik
176,galiwinku
177,ossora
178,fairview
179,vostok
180,dzaoudzi
181,kavieng
182,nouadhibou
183,aranos
184,garden city
185,dubbo
186,nadym
187,state college
188,ust-nera
189,cape town
190,beisfjord
191,lodja
192,richard toll
193,taoudenni
194,zihuatanejo
195,asau
196,cilegon
197,grand-lahou
198,buraydah
199,bac lieu
200,port hardy
201,kruisfontein
202,alexandria
203,riyadh
204,tuscaloosa
205,geraldton
206,avarua
207,saint-pierre
208,santa maria
209,salalah
210,biak
211,dzhankoy
212,gorontalo
213,zhezkazgan
214,shimoda
215,guerrero negro
216,merauke
217,berlevag
218,suwannaphum
219,cidreira
220,tezu
221,solsvik
222,mar del plata
223,progreso
224,aklavik
225,namibe
226,llanes
227,nisia floresta
228,hay river
229,paradwip
230,pangnirtung
231,husavik
232,inirida
233,poronaysk
234,molina
235,bethel
236,kununurra
237,kondinskoye
238,baghdad
239,chokurdakh
240,raudeberg
241,rawannawi
242,cayenne
243,moose factory
244,uglovskoye
245,kerki
246,sola
247,hasaki
248,broken hill
249,wielun
250,ituni
251,tapaua
252,champerico
253,la asuncion
254,itamaraca
255,nizhneyansk
256,oytal
