,City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
0,Bathsheba,20,73,13.22,-59.52,77.0,11.41
1,Hermanus,44,46,-34.42,19.24,71.29,3.27
2,Brae,44,93,60.4,-1.35,41.25,10.29
3,New Norfolk,0,41,-42.78,147.06,77.0,11.41
4,Bluff,0,28,-23.58,149.07,88.2,13.89
5,East London,20,56,-33.02,27.91,69.8,3.36
6,Ponta do Sol,48,96,-20.63,-46.0,64.35,3.38
7,Adrar,0,38,27.87,-0.29,39.2,9.17
8,Bredasdorp,44,46,-34.53,20.04,71.6,14.99
9,Yellowknife,90,76,62.45,-114.38,-5.81,14.99
10,Punta Arenas,20,61,-53.16,-70.91,46.4,11.41
11,Pimentel,12,97,-3.7,-45.5,70.2,1.7
12,Hithadhoo,92,100,-0.6,73.08,80.29,5.95
13,Port Alfred,0,84,-33.59,26.89,69.21,5.28
14,Hobart,0,41,-42.88,147.33,77.0,11.41
15,Ushuaia,75,65,-54.81,-68.31,46.4,18.34
16,Jamestown,24,79,-33.21,138.6,73.66,5.86
17,Ayan,64,95,40.67,33.6,31.95,2.93
18,Sivas,75,73,39.75,37.01,21.2,8.05
19,Lata,88,73,30.78,78.62,48.6,1.36
20,Smithers,90,66,54.78,-127.17,37.4,13.87
21,Mahebourg,40,62,-20.41,57.7,87.8,17.22
22,Arraial do Cabo,12,90,-22.97,-42.02,77.58,10.65
23,Challans,90,100,46.85,-1.88,40.41,2.24
24,Rikitea,68,99,-23.12,-134.97,80.19,15.01
25,Hilo,40,86,19.71,-155.08,69.08,3.36
26,Busselton,0,64,-33.64,115.35,84.06,12.33
27,Tasiilaq,0,78,65.61,-37.64,17.6,3.36
28,Yumen,0,86,40.29,97.04,19.71,3.6
29,Ilulissat,56,77,69.22,-51.1,-0.41,10.29
30,Saint-Philippe,90,70,45.36,-73.48,-5.16,21.92
31,Tuktoyaktuk,80,100,69.44,-133.03,-1.26,5.61
32,Kaitangata,64,88,-46.28,169.85,53.91,25.08
33,Maceio,40,88,-9.67,-35.74,75.2,5.73
34,Kapaa,40,78,22.08,-159.32,70.65,14.99
35,Meulaboh,80,100,4.14,96.13,79.2,5.39
36,Biskupiec,12,93,53.87,20.96,24.75,11.54
37,Saint-Augustin,75,100,44.83,-0.61,41.99,1.12
38,Pevek,44,100,69.7,170.27,-19.17,6.96
